2025-11-20 19:30:21,135 | DQN_CartPole | INFO | Episode: 64/1000, Score: 43.00, Steps: 55, Epsilon: 0.729
2025-11-20 19:30:21,149 | DQN_CartPole | INFO | Episode: 65/1000, Score: 8.00, Steps: 20, Epsilon: 0.726
2025-11-20 19:30:21,162 | DQN_CartPole | INFO | Episode: 66/1000, Score: 23.00, Steps: 35, Epsilon: 0.722
2025-11-20 19:30:21,186 | DQN_CartPole | INFO | Episode: 67/1000, Score: 81.00, Steps: 93, Epsilon: 0.718
2025-11-20 19:30:21,198 | DQN_CartPole | INFO | Episode: 68/1000, Score: 0.00, Steps: 12, Epsilon: 0.715
2025-11-20 19:30:21,216 | DQN_CartPole | INFO | Episode: 69/1000, Score: 32.00, Steps: 44, Epsilon: 0.711
2025-11-20 19:30:21,232 | DQN_CartPole | INFO | Episode: 70/1000, Score: 15.00, Steps: 27, Epsilon: 0.708
2025-11-20 19:30:21,245 | DQN_CartPole | INFO | Episode: 71/1000, Score: 14.00, Steps: 26, Epsilon: 0.704
2025-11-20 19:30:21,255 | DQN_CartPole | INFO | Episode: 72/1000, Score: 9.00, Steps: 21, Epsilon: 0.701
2025-11-20 19:30:21,267 | DQN_CartPole | INFO | Episode: 73/1000, Score: 2.00, Steps: 14, Epsilon: 0.697
2025-11-20 19:30:21,286 | DQN_CartPole | INFO | Episode: 74/1000, Score: 43.00, Steps: 55, Epsilon: 0.694
2025-11-20 19:30:21,305 | DQN_CartPole | INFO | Episode: 75/1000, Score: 30.00, Steps: 42, Epsilon: 0.690
2025-11-20 19:30:21,326 | DQN_CartPole | INFO | Episode: 76/1000, Score: 53.00, Steps: 65, Epsilon: 0.687
2025-11-20 19:30:21,339 | DQN_CartPole | INFO | Episode: 77/1000, Score: 20.00, Steps: 32, Epsilon: 0.683
2025-11-20 19:30:21,355 | DQN_CartPole | INFO | Episode: 78/1000, Score: 40.00, Steps: 52, Epsilon: 0.680
2025-11-20 19:30:21,369 | DQN_CartPole | INFO | Episode: 79/1000, Score: 24.00, Steps: 36, Epsilon: 0.676
2025-11-20 19:30:21,385 | DQN_CartPole | INFO | Episode: 80/1000, Score: 27.00, Steps: 39, Epsilon: 0.673
2025-11-20 19:30:21,400 | DQN_CartPole | INFO | Episode: 81/1000, Score: 28.00, Steps: 40, Epsilon: 0.670
2025-11-20 19:30:21,421 | DQN_CartPole | INFO | Episode: 82/1000, Score: 36.00, Steps: 48, Epsilon: 0.666
2025-11-20 19:30:21,436 | DQN_CartPole | INFO | Episode: 83/1000, Score: 14.00, Steps: 26, Epsilon: 0.663
2025-11-20 19:30:21,452 | DQN_CartPole | INFO | Episode: 84/1000, Score: 23.00, Steps: 35, Epsilon: 0.660
2025-11-20 19:30:21,463 | DQN_CartPole | INFO | Episode: 85/1000, Score: 12.00, Steps: 24, Epsilon: 0.656
2025-11-20 19:30:21,483 | DQN_CartPole | INFO | Episode: 86/1000, Score: 18.00, Steps: 30, Epsilon: 0.653
2025-11-20 19:30:21,494 | DQN_CartPole | INFO | Episode: 87/1000, Score: 14.00, Steps: 26, Epsilon: 0.650
2025-11-20 19:30:21,512 | DQN_CartPole | INFO | Episode: 88/1000, Score: 57.00, Steps: 69, Epsilon: 0.647
